# Jurisdictions no codifier API resolves, researched by hand and recorded here.
# This file is the part of the dataset no API produces, so it is committed.
# Manual rows override the API for every column they fill.
#
# THREE SOURCES ARE REPRESENTED. American Legal Publishing and General Code
# refuse scripted requests and were read in a browser. MunicipalCodeOnline was
# found only because three Municode client records pointed nowhere; it serves
# every subdomain a shell, so each was confirmed by the Florida address printed
# on the tenant's own page. A same-named Greenwood resolved to Wisconsin and was
# rejected on that test. Everything else was read from the jurisdiction's own
# website on the date in source_checked_date.
geoid	name	code_status	publisher	code_url	codified_through	official_status	source	source_checked_date	notes
1248900	Noma	online-pdf-only	self-hosted	https://www.nomafl.com/charter-and-ordinances	2026-05-04	official	browser	2026-09-04	code adopted by Ordinance 2026-02 on May 4 2026 and published as a single PDF
12059	Holmes	ordinances-only	self-hosted	https://holmesclerk.com/other-services/ordinances/		unstated	browser	2026-09-04	clerk publishes individual ordinance PDFs described as archived; no codified compilation
12079	Madison	ordinances-only	self-hosted	https://library.municode.com/fl/madison_county/munidocs/munidocs		unstated	browser	2026-09-04	Municode hosts county documents under MuniDocs; the client record carries no published code product
12013	Calhoun	ordinances-only	self-hosted	https://www.calhouncountyfl.gov/		unstated	browser	2026-09-04	county publishes an index of ordinances back to 1975 as a PDF; no codified compilation
1227256	Grant-Valkaria	ordinances-only	self-hosted	https://www.grantvalkaria.org/ordinances		unstated	browser	2026-09-04	ordinances and resolutions listed individually
1207450	Bonifay	ordinances-only	self-hosted	https://www.cityofbonifay.com/ordinances		unstated	browser	2026-09-04	individual ordinances organised by topic
1277100	Wewahitchka	ordinances-only	self-hosted	https://www.cityofwewahitchka.com/ordinances.cfm		unstated	browser	2026-09-04	individual ordinance PDFs
1229150	Havana	ordinances-only	self-hosted	https://townofhavana.com/ordinances		unstated	browser	2026-09-04	individual ordinance PDFs including a performance zoning ordinance
1233900	Interlachen	ordinances-only	self-hosted	https://www.interlachen-fl.gov/		unstated	browser	2026-09-04	individual ordinances on the town site
1277400	White Springs	ordinances-only	self-hosted	https://www.whitesprings.org/documents		unstated	browser	2026-09-04	individual ordinances and town documents
1200625	Alford	no-online-code	none			unstated	browser	2026-09-04	official town site confirmed and read; it carries public notices and utility billing and no ordinances or code section
1208725	Brooker	no-online-code	none			unstated	browser	2026-09-04	the town site has a Town Codes page that publishes no documents
