geoid	name	type	county	population	municode_client	hint	hint_status	notes
1221250	Esto	town	Holmes	350				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1237300	La Crosse	town	Alachua	324				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1210975	Caryville	town	Washington	318				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1230325	Highland Park	village	Polk	285				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1230700	Hillcrest Heights	town	Polk	282				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1226550	Golf	village	Palm Beach	273				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1276975	Westville	town	Holmes	268				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1219725	Ebro	town	Washington	246				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1235200	Jacob City	city	Jackson	230				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1259400	Raiford	town	Union	224				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1209900	Campbellton	town	Jackson	203				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1253500	Otter Creek	town	Levy	114				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1203725	Bascom	town	Jackson	93				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1239750	Lazy Lake	village	Broward	35				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1237625	Lake Buena Vista	city	Orange	25				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1204150	Bay Lake	city	Orange	23				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1243250	Marineland	town	Flagler	9				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
